team_name,player_name,player_role,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,start,end,experience,cluster_id
Afghanistan,Hashmatullah Shahidi,Top order Batter,70.0,70.0,11.0,2001.0,97.0,33.91,2962.0,67.55,0.0,18.0,5.0,173,12,2013,2023,10.0,1
Afghanistan,Rahmanullah Gurbaz,Wicketkeeper Batter,32.0,32.0,1.0,1182.0,151.0,38.12,1349.0,87.62,5.0,4.0,1.0,107,44,2021,2023,2.0,1
Afghanistan,Ibrahim Zadran,Opening Batter,25.0,25.0,2.0,1123.0,162.0,48.82,1366.0,82.21,4.0,5.0,2.0,119,15,2019,2023,4.0,1
Afghanistan,Reyaz Hassan,Batter,6.3,5.04,0.0,120.0,50.0,30.0,192.0,62.5,0.0,1.0,0.0,12,2,2022,2023,1.0,0
Afghanistan,Rahmat Shah Zurmati,Allrounder,103.0,99.0,4.0,3481.0,114.0,36.64,4902.0,71.01,5.0,25.0,5.0,300,38,2013,2023,10.0,2
Afghanistan,Najibullah Zadran,Middle order Batter,92.0,84.0,13.0,2060.0,104.0,29.01,2312.0,89.1,1.0,15.0,4.0,178,68,2012,2023,11.0,2
Afghanistan,Mohammad Nabi Eisakhil,Allrounder,153.0,135.0,15.0,3194.0,116.0,26.61,3722.0,85.81,1.0,16.0,6.0,208,98,2009,2023,14.0,2
Afghanistan,Ikram Ali Khil,Wicketkeeper Batter,18.0,15.0,4.0,315.0,86.0,28.63,482.0,65.35,0.0,3.0,0.0,25,3,2019,2023,4.0,1
Afghanistan,Azmatullah Omarzai,Allrounder,19.0,13.0,3.0,340.0,73.0,34.0,385.0,88.31,0.0,3.0,0.0,28,12,2021,2023,2.0,1
Afghanistan,Rashid Khan Arman,Bowling Allrounder,100.0,79.0,13.0,1267.0,60.0,19.19,1202.0,105.4,0.0,5.0,8.0,110,45,2015,2023,8.0,2
Afghanistan,Mujeeb ur Rahman,Bowler,72.0,39.0,14.0,228.0,64.0,9.12,257.0,88.71,0.0,1.0,12.0,25,8,2017,2023,6.0,0
Afghanistan,Fazalhaq Farooqi,Bowler,26.0,14.0,9.0,17.56,6.52,3.5926,51.0,33.6684,0.0,0.0,3.0,2,0,2022,2023,1.0,0
Afghanistan,Naveen ul Haq Murid,Bowler,13.0,9.0,5.0,35.0,10.0,8.75,50.0,70.0,0.0,0.0,2.0,5,0,2016,2023,7.0,0
Australia,Pat Cummins,Bowler,83.0,54.0,19.0,456.0,37.0,13.02,545.0,83.66,0.0,0.0,8.0,35,11,2011,2023,12.0,0
Australia,Steve Smith,Opening Batter,28.0,24.0,2.0,861.0,117.0,39.13,1319.0,65.27,2.0,8.0,1.0,0,0,1983,1985,2.0,1
Australia,Alex Carey,Wicketkeeper Batter,72.0,66.0,11.0,1814.0,106.0,32.98,2052.0,88.4,1.0,8.0,4.0,167,18,2018,2023,5.0,1
Australia,Sean Abbott,Bowling Allrounder,17.0,14.0,1.0,228.0,54.0,17.53,212.0,107.54,0.0,1.0,1.0,25,7,2014,2023,9.0,1
Australia,Cameron Green,Batting Allrounder,22.0,19.0,7.0,395.0,89.0,32.91,478.0,82.63,0.0,1.0,0.0,31,9,2020,2023,3.0,1
Australia,Josh Hazlewood,Bowler,80.0,30.0,23.0,120.0,23.0,17.14,132.0,90.9,0.0,0.0,3.0,13,3,2010,2023,13.0,0
Australia,Travis Head,Middle order Batter,59.0,56.0,5.0,2173.0,152.0,42.6,2141.0,101.49,4.0,15.0,2.0,237,47,2016,2023,7.0,1
Australia,Marnus Labuschagne,Batter,44.0,42.0,2.0,1469.0,124.0,36.72,1709.0,85.95,2.0,9.0,2.0,118,6,2020,2023,3.0,1
Australia,Mitch Marsh,Allrounder,85.0,81.0,10.0,2456.0,121.0,34.59,2614.0,93.95,2.0,18.0,6.0,225,77,2011,2023,12.0,2
Australia,Glenn Maxwell,Batting Allrounder,135.0,124.0,15.0,3691.0,108.0,33.86,2935.0,118.82979999999999,3.0,23.0,10.0,352,140,2012,2023,11.0,2
Australia,Marcus Stoinis,Batting Allrounder,67.0,61.0,8.0,1446.0,146.0,27.28,1527.0,94.69,1.0,6.0,5.0,129,47,2015,2023,8.0,1
Australia,David Warner,Opening Batter,156.0,154.0,6.0,6810.0,179.0,46.01,7000.0,97.28,22.0,32.0,4.0,721,125,2009,2023,14.0,3
Australia,Adam Zampa,Bowler,91.0,46.0,17.0,256.0,36.0,8.82,415.0,61.68,0.0,0.0,5.0,22,1,2016,2023,7.0,0
Australia,Mitchell Starc,Bowler,117.0,68.0,24.0,542.0,52.0,12.31,661.0,81.99,0.0,1.0,11.0,40,14,2010,2023,13.0,0
Bangladesh,Shakib Al Hasan,Allrounder,246.0,233.0,31.0,7488.0,134.0,37.06,9073.0,82.53,9.0,54.739999999999995,12.0,687,52,2006,2023,16.739999999999995,3
Bangladesh,Litton Kumer Das,Wicketkeeper Batter,84.0,83.0,7.0,2475.0,176.0,32.56,2855.0,86.69,5.0,12.0,12.0,265,42,2015,2023,8.0,2
Bangladesh,Najmul Hossain Shanto,Top order Batter,37.0,36.0,1.0,995.0,117.0,28.42,1279.0,77.79,2.0,6.0,5.0,100,10,2018,2023,5.0,1
Bangladesh,Mushfiqur Rahim,Wicketkeeper Batter,261.43999999999994,246.0,40.0,7577.0,144.0,36.78,9519.0,79.59,9.0,48.0,11.0,597,98,2006,2023,16.739999999999995,3
Bangladesh,Mahmudullah Riyad,Allrounder,227.0,197.0,45.219999999999985,5294.0,128.0,36.26,6908.0,76.63,4.0,28.0,9.0,398,88,2007,2023,16.0,3
Bangladesh,Mehidy Hasan Miraz,Allrounder,89.0,62.0,10.0,1215.0,112.0,23.36,1569.0,77.43,2.0,3.0,4.0,108,20,2017,2023,6.0,1
