team_name,player_name,player_id,player_role,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Afghanistan,Hashmatullah Shahidi,440970,Top order Batter,2013-2023,70,2,3.0,0,25,0,-,-,8.33,-,0,0
Afghanistan,Rahmanullah Gurbaz,974087,Wicketkeeper Batter,2021-2023,32,-,-,-,-,-,-,-,-,-,-,-
Afghanistan,Ibrahim Zadran,921509,Opening Batter,2019-2023,25,-,-,-,-,-,-,-,-,-,-,-
Afghanistan,Reyaz Hassan,1061090,Batter,2022-2023,5,-,-,-,-,-,-,-,-,-,-,-
Afghanistan,Rahmat Shah Zurmati,533956,Allrounder,2013-2023,103,28,89.3,2,520,15,5/32,34.66,5.81,35.8,0,1
Afghanistan,Najibullah Zadran,524049,Middle order Batter,2012-2023,92,2,5.0,0,30,0,-,-,6.00,-,0,0
Afghanistan,Mohammad Nabi Eisakhil,25913,Allrounder,2009-2023,153,148,1197.3,45,5146,157,4/30,32.77,4.29,45.7,4,0
Afghanistan,Ikram Ali Khil,935553,Wicketkeeper Batter,2019-2023,18,-,-,-,-,-,-,-,-,-,-,-
Afghanistan,Azmatullah Omarzai,819429,Allrounder,2021-2023,19,19,98.4,1,553,11,2/56,50.27,5.60,53.8,0,0
Afghanistan,Rashid Khan Arman,793463,Bowling Allrounder,2015-2023,100,95,853.2,31,3636,179,7/18,20.31,4.26,28.6,6,4
Afghanistan,Mujeeb ur Rahman,974109,Bowler,2017-2023,72,71,632.3,38,2700,99,5/50,27.27,4.26,38.3,3,1
Afghanistan,Noor Ahmad Lakanwal,1182529,Bowler,4,4,31.0,0,205,5,3/49,41.00,6.61,37.2,0,0,
Afghanistan,Fazalhaq Farooqi,974175,Bowler,2022-2023,26,26,193.0,12,1072,38,4/34,28.21,5.55,30.4,3,0
Afghanistan,Abdul Rahman Rahmani,819507,Bowler,3,3,17.2,0,133,1,1/83,133.00,7.67,104.0,0,0,
Afghanistan,Naveen ul Haq Murid,793447,Bowler,2016-2023,13,13,99.4,2,609,20,4/42,30.45,6.11,29.9,1,0
Australia,Pat Cummins,489889,Bowler,2011-2023,83,83,718.1,43,3805,134,5/70,28.39,5.29,32.1,6,1
Australia,Steve Smith,7656,Opening Batter,1983-1985,28,2,1.1,0,5,0,-,-,4.28,-,0,0
Australia,Alex Carey,326434,Wicketkeeper Batter,2018-2023,72,-,-,-,-,-,-,-,-,-,-,-
Australia,Josh Inglis,662235,Wicketkeeper Batter,13,-,-,-,-,-,-,-,-,-,-,-,
Australia,Sean Abbott,398666,Bowling Allrounder,2014-2023,17,17,131.3,9,737,20,3/23,36.85,5.60,39.4,0,0
Australia,Cameron Green,1076713,Batting Allrounder,2020-2023,22,21,114.4,0,656,16,5/33,41.00,5.72,43.0,0,1
Australia,Josh Hazlewood,288284,Bowler,2010-2023,80,79,701.2,53,3332,124,6/52,26.87,4.75,33.9,1,3
Australia,Travis Head,530011,Middle order Batter,2016-2023,59,32,154.3,0,898,16,2/22,56.12,5.81,57.9,0,0
Australia,Marnus Labuschagne,787987,Batter,2020-2023,44,10,33.5,1,230,2,2/19,115.00,6.79,101.5,0,0
Australia,Mitch Marsh,272450,Allrounder,2011-2023,85,67,358.5,9,1956,56,5/33,34.92,5.45,38.4,1,1
Australia,Glenn Maxwell,325026,Batting Allrounder,2012-2023,135,107,593.5,12,3259,68,4/40,47.92,5.48,52.3,4,0
Australia,Marcus Stoinis,325012,Batting Allrounder,2015-2023,67,60,332.1,4,1978,46,3/16,43.00,5.95,43.3,0,0
Australia,David Warner,219889,Opening Batter,2009-2023,156,1,1.0,0,8,0,-,-,8.00,-,0,0
Australia,Adam Zampa,379504,Bowler,2016-2023,91,91,795.0,14,4431,158,5/35,28.04,5.57,30.1,11,1
Australia,Mitchell Starc,311592,Bowler,2010-2023,117,117,1001.0,49,5195,227,6/28,22.88,5.18,26.4,12,9
Bangladesh,Shakib Al Hasan,56143,Allrounder,2006-2023,246,240,2085.5,101,9303,315,5/29,29.53,4.46,39.7,10,4
Bangladesh,Litton Kumer Das,536936,Wicketkeeper Batter,2015-2023,84,-,-,-,-,-,-,-,-,-,-,-
Bangladesh,Tanzid Hasan Tamim,990023,Opening Batter,12,-,-,-,-,-,-,-,-,-,-,-,
Bangladesh,Najmul Hossain Shanto,629058,Top order Batter,2018-2023,37,5,8.2,0,45,1,1/10,45.00,5.40,50.0,0,0
Bangladesh,Tawhid Hridoy,990031,Top order Batter,22,-,-,-,-,-,-,-,-,-,-,-,
Bangladesh,Mushfiqur Rahim,56029,Wicketkeeper Batter,2006-2023,263,-,-,-,-,-,-,-,-,-,-,-
Bangladesh,Mahmudullah Riyad,56025,Allrounder,2007-2023,227,151,725.0,14,3791,82,3/4,46.23,5.22,53.0,0,0
Bangladesh,Mehidy Hasan Miraz,629063,Allrounder,2017-2023,89,86,703.3,31,3369,100,4/25,33.69,4.78,42.2,5,0
