team_name,player_name,player_id,player_role,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Afghanistan,Hashmatullah Shahidi,440970,Top order Batter,2013-2023,70,70,11,2001,97*,33.91,2962,67.55,0,18,5,173,12
Afghanistan,Rahmanullah Gurbaz,974087,Wicketkeeper Batter,2021-2023,32,32,1,1182,151,38.12,1349,87.62,5,4,1,107,44
Afghanistan,Ibrahim Zadran,921509,Opening Batter,2019-2023,25,25,2,1123,162,48.82,1366,82.21,4,5,2,119,15
Afghanistan,Reyaz Hassan,1061090,Batter,2022-2023,5,4,0,120,50,30.00,192,62.50,0,1,0,12,2
Afghanistan,Rahmat Shah Zurmati,533956,Allrounder,2013-2023,103,99,4,3481,114,36.64,4902,71.01,5,25,5,300,38
Afghanistan,Najibullah Zadran,524049,Middle order Batter,2012-2023,92,84,13,2060,104*,29.01,2312,89.10,1,15,4,178,68
Afghanistan,Mohammad Nabi Eisakhil,25913,Allrounder,2009-2023,153,135,15,3194,116,26.61,3722,85.81,1,16,6,208,98
Afghanistan,Ikram Ali Khil,935553,Wicketkeeper Batter,2019-2023,18,15,4,315,86,28.63,482,65.35,0,3,0,25,3
Afghanistan,Azmatullah Omarzai,819429,Allrounder,2021-2023,19,13,3,340,73*,34.00,385,88.31,0,3,0,28,12
Afghanistan,Rashid Khan Arman,793463,Bowling Allrounder,2015-2023,100,79,13,1267,60*,19.19,1202,105.40,0,5,8,110,45
Afghanistan,Mujeeb ur Rahman,974109,Bowler,2017-2023,72,39,14,228,64,9.12,257,88.71,0,1,12,25,8
Afghanistan,Noor Ahmad Lakanwal,1182529,Bowler,4,2,1,5,3,5.00,8,62.50,0,0,0,0,0,
Afghanistan,Fazalhaq Farooqi,974175,Bowler,2022-2023,26,14,9,16,6*,3.20,51,31.37,0,0,3,2,0
Afghanistan,Abdul Rahman Rahmani,819507,Bowler,3,3,1,10,4*,5.00,37,27.02,0,0,0,0,0,
Afghanistan,Naveen ul Haq Murid,793447,Bowler,2016-2023,13,9,5,35,10*,8.75,50,70.00,0,0,2,5,0
Australia,Pat Cummins,489889,Bowler,2011-2023,83,54,19,456,37,13.02,545,83.66,0,0,8,35,11
Australia,Steve Smith,7656,Opening Batter,1983-1985,28,24,2,861,117,39.13,1319,65.27,2,8,1,,
Australia,Alex Carey,326434,Wicketkeeper Batter,2018-2023,72,66,11,1814,106,32.98,2052,88.40,1,8,4,167,18
Australia,Josh Inglis,662235,Wicketkeeper Batter,13,13,0,271,58,20.84,265,102.26,0,2,1,28,7,
Australia,Sean Abbott,398666,Bowling Allrounder,2014-2023,17,14,1,228,54,17.53,212,107.54,0,1,1,25,7
Australia,Cameron Green,1076713,Batting Allrounder,2020-2023,22,19,7,395,89*,32.91,478,82.63,0,1,0,31,9
Australia,Josh Hazlewood,288284,Bowler,2010-2023,80,30,23,120,23*,17.14,132,90.90,0,0,3,13,3
Australia,Travis Head,530011,Middle order Batter,2016-2023,59,56,5,2173,152,42.60,2141,101.49,4,15,2,237,47
Australia,Marnus Labuschagne,787987,Batter,2020-2023,44,42,2,1469,124,36.72,1709,85.95,2,9,2,118,6
Australia,Mitch Marsh,272450,Allrounder,2011-2023,85,81,10,2456,121,34.59,2614,93.95,2,18,6,225,77
Australia,Glenn Maxwell,325026,Batting Allrounder,2012-2023,135,124,15,3691,108,33.86,2935,125.75,3,23,10,352,140
Australia,Marcus Stoinis,325012,Batting Allrounder,2015-2023,67,61,8,1446,146*,27.28,1527,94.69,1,6,5,129,47
Australia,David Warner,219889,Opening Batter,2009-2023,156,154,6,6810,179,46.01,7000,97.28,22,32,4,721,125
Australia,Adam Zampa,379504,Bowler,2016-2023,91,46,17,256,36,8.82,415,61.68,0,0,5,22,1
